Molecule,SMILES,Fingerprints,Keck_Pria_AS_Retest,Keck_Pria_FP_data,Keck_Pria_Continuous,Keck_RMI_cdd,FP counts % inhibition
SMSSF-0058113,c1ccc(cc1)N=C2NC(=O)C(S2)Cc3cccc(c3)[N+](=O)[O-],0000000000100001001000000000000000001000001000000000000000000010100000000000000010000000001000000000000000000000000000000000000000000000000000000000000000000000000000000001000100000000000000000000000000000000000000000000000000000000000001000000000000100000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000010001000000000000000000000001000010000100000000000000000000000010000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000100000000000000000000000000000000010000000000000000000000000000010000000000000000000000001000000000000000000000000000000000000000110000000011000101000000000000000000001000000000000000000000000000000010000000000000000000000000000001000000000000010000000100100000001000000000000000000001000010000000000000000000000000000000000000000100000000000000000000001000000000000000000000000000000000000000001000000000000000000000000000000000000010000,0,0,7.5781710450399995,1.0,74.0
SMSSF-0058146,c1ccc(cc1)CN2Cc3c(c(c(s3)NC(=O)COc4ccc(cc4Cl)Cl)c5nc6ccccc6s5)CC2,0000000000001010000000000000000000000000011000000010000000000000100000000100000010010010000000110000000000000000001000000000000010000000000000000000000000000000001101010000000100000000010000001000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000101000000000000000000000000000000000000000000000010000000000000000010000100001000000000001000000000010000000000000000000000000000000000000010000000000000000000000000001000010000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000010001000000000000000000000000000000000000100000000000000000000000000000000000000000000000000010000000010000000000000001000000000000000000010000000000000000001000000001001000100000000001000001000000000000000000010000010000000000000000001000000000000001000100001000000000000001001000000000000011000000000000000000000000010000000001000000010000000000000000100000000000100010000000010000000000100000000000000000000000000000000010000000000100000000000000000000000000000000,0,0,-10.2010165783,1.0,121.0
SMSSF-0058345,c1cc2c(cc1C(=O)Nc3nc(cs3)c4ccc(s4)Br)scn2,0000000000000000000000000000000000000000000000000010000000000010000000001100000000000000000000000000001000000000000001000000000010000000000000000000000000000000001000000000000010000000000000100000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000001000000100000000000000000000001000000000000000000010000001000000000000000000000000000000000000000001000000001000000000000000000001000000000000000000100000000000000001000000001000000000000000000000000000000000000000000000010000000100000000000000001000000000000000000000000010000000000000000000000101000000000000000000000000011000000000000000000000001010000000000000000000000000000000000000000001000000000000000000001000000000000001000000000000000000000001000000000000000001000000000000000000000000010000000001000000010000000000000000000000000000000000000000000000000000000000000000000100000000100000000010000000000000000000000000000000000000000000,0,0,-2.3087088220200003,1.0,27.0
SMSSF-0058354,c1ccc2c(c1)nc(s2)c3c4c(sc3NC(=O)c5ccc(cc5)[S-](=O)(N6CCCCCC6)[O-])CN(CC4)C(C)C,0110100000000000000000000000000001000000001000000010000000000000100000000100000000010000000000010000000000000000001000000000000010000000010000000000000000000100001000000000000100000000000000000000000000000000000000000000000000000000000000000100000000000000000000000001000000000000000101000101000000000000001000100000000000000000000001000010000000000000000010000100000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000001000010000000000000000000000001000000000000000000000000000000000000000000000000001100000000000000000010000000000000000000000000000000000000000100000000000000000000000000000000000000000010000000010000000000000000000000101000000000000000000000000000000000000001100000001001000001010000000000000000000000000000000000011000000000000000000001000100000000001000101000000000000000001001000000000000011010000000000000000000000000000000001000000010000000000000000110000000000100010000000010000000000000000000000000000000000000010000010000000000000000000000000000000000000000000,0,0,-16.0612310621,1.0,60.0
SMSSF-0058359,c1ccnc(c1)CN2CN(C(=S)SC2)Cc3ccco3,0000000000000000000000000000000000000000000000000000000000000000110000000000000010000000000000000100000000000000000000000000000001010000000000000000000000000100000000000000100100000000000000000000000000000000010000000001001000000000001000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010000000010000000000001000000000000000000000000000000000000000000000000010000000000000100000100000010000000000000000001000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000010000000000000000001000000000000000001001000000000000000000000000000101000000000000001000000000000000000000000010000000000000000000100000000000001000000000000000000000000000000000000000010000001000000000000001000000000000000100000000000000000000010000000100000100000000010000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0,45.4780337115,0.0,4.0
SMSSF-0058451,c1cc(ccc1NC(=O)c2cnc3n(c2=O)CCS3)[S-](=O)(Nc4ncccn4)[O-],0000000000000000000000000000000000000000000000000000010000000000100000000000000000000000000000000000000000000000000000000000000010000000001000000000000000000100000000000000000000000010000000010000100000000000000000000000000100000000000000000000000000000000000000000001000000000000000001000000000000000000001000000010000000000000000000000000000000000000000010000000000000000000001000000000010000000000000010000000000000000000000010000000000000000000100000001000000001000000100000000000001000000000000000001000000100000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000010000000000000000000000001000000001000000000000000000000000100000100000000001000001010000000000000000000000000000000000000000000000000000001001001000010000001000000001000000010000000000000000011000101000000000000000000000000000000000000000000010000000000000000000000000000000010000000010000000000000000001000000010000100000001000000000000000000000000000000000000000000000000,0,0,1.7071568582499999,1.0,36.0
SMSSF-0058742,c1ccc2c(c1)CCCN2C(=O)CSc3nc4c(c(=O)n3c5ccc(cc5)[N+](=O)[O-])SCC4,0000100000000000000000000000000000000000000000000000000000100000100000000000000011000000000000000000000000000000001010000000000000000000000000000000000000000100000000000001001101000000000000010000000000000000000010000000000000000000010000000000000000100000000000000000000100000100000000000000000000000000000000000010000000000010000000000000010000000000000010000001000000000000001000001000000000000000000000000010000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000001000000000100000000000000000000000000000000000000000100000000000000000000000000100000000000000000000000000000000000000010010000000000000000000000010000000000000000000000001000000101000000000000000000000000000001100000000001000000000000000000001000001000000000000010100000000000000010001100000000001000001000000000000000000000001000000100000000001000000000000000000000000000000010000000000010000000000000000000000000000001010000001010001000010000000000000000000000001000000000000000100000000000000000000000100000000000000,0,0,-5.15590574504,1.0,29.0
SMSSF-0058756,c1cc(ccc1n2ccnc2SCC(=O)Nc3ccc(cc3)Br)F,0000000000000000000000000000000000000000010000000000010000000000000000000000010010000000001000000000000000000000000010000000000010000100000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000000000010000000000000000000001000001011000000000000000000000000000000000000000010010000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000100000000000000100000000000000000100000000000000000000100010000000000000010000000000000000000000000000000001000000000000000000000000001010000000000000000001000000000000000000000000000000000000000000001000000001000001000000000000000000000000000000000011000001000000000000000100000000000000000000000000010000000100100001000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1,59.925883594,0.0,-23.0
SMSSF-0058827,c1cc(ccc1C(=O)N=c2c(cc3c(n2CC4CCCO4)nc5ccccn5c3=O)C(=O)OCC)Br,0101100000000000000000000000001001000000000000000000000000000001100000000000010010000000000000000000000000000000000000000000000000000100000000000101000100000000000000000000000100000000000000000000000000000000000000100000000000000000000000000000000010000000000000000000000000000000000000000001001000000100000000000010000000000000000001001000000000000000000010000100000100000000001000001000000000000000000000000000010000000000000000000000000000001000000001000000000000000000000000000000000000000000010000001000000000000000000000000000000000000000000000000000000000000000000100000000000000000000100000001000010100000000000000000100000000000000000000000110000010000000100000001100000000000000000000110010000000000000000000000000011010000000000000000000000000000001000000000000000000000000000000000000000000100001000000000001010000000001000000001000000001000000000000000000000000010000000000000000011000000000000011000000000000000010000000010000000001000010000000000000000100000000000000000000000000000000000000000000001000010000,0,0,-6.322843623220001,1.0,73.0
SMSSF-0059000,c1ccc2c(c1)ccc3c2cc(c(=O)o3)C(=O)Nc4nnc(o4)c5ccncc5,0000000000000000000000010000000000000000000000000000000000000001100000000000000010000000000000000000000000000000000000000000000010000000100010000000000000000000000000000000000100001000100100001000000000010000000000000000000000000000000010000000000000000000000000001000000000000000000000000000000000000000010000000010000000000000000001001000000000000000000011001000000010000000001000010000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000001100000000000000000000000000000000000000000000000000000000000010000000010000010000000000001000000000000000000000000000000000000000000000000001000001000000000000000000000000000010000000000000000000000001000101000001000000000000001000000000000000000000001000000000010000101000000000000000000000000010000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000,0,0,-15.5427450501,1.0,97.0
