Molecule,SMILES,Fingerprints,Keck_Pria_AS_Retest,Keck_Pria_FP_data,Keck_Pria_Continuous,Keck_RMI_cdd,FP counts % inhibition
SMSSF-0043788,c1cc(cc(c1C(=O)CN2CCN(CC2)C(=O)OCC)O)O,0000000000000000000010000000000001000000010000000000000000000000000100000010000010000000000000000000000000000000000000000001000000000000000000000001000000000100000000000000000000000000000000000000000000000100000000100000000000000000000000000000000000000000000000000000000000000100000000001100001000000000000000000000000000000000000000000000001000000000000010000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000001010000100000000000000000000000000000000000000000000000000000000000000000010000000000000000001000000000000000000000000010010000000000000000000000000001000000000000000000100000000000000000000010000000000000000000000000000000000000001000000000000000000001000000000000000000001000000000000000000000000010000000000000000010000000000000000000000000000000010000000010000000000000000000000000000000100000000000000000100000000000000000000000000000000000000,0,0,-5.2162786282999996,1.0,50.0
SMSSF-0043920,c1cc(c(c2c1c(cc(=O)o2)CN3CCC4(CC3)OCCO4)C)O,0000000000000010000000000000010001001000000000000000000000000000000000000000000010000000000001000000000010000000000000000000000000000100001000000000000000000000000000000000001000000000000000000000000000000000000000000100000000000000000000000000000000001000100000000000000000000000000000000000000000000000000000000010000000000100000001000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010100100000000000000000000000000000000000000000000000001000000000000000010000010000010000000000000000000000000100000000010000000000100000000000000001000000000000001000000000000000000001000011000000000000000100000000000000000010001000000000000000000000000000000000000000001000000000000000000000000010000000000000000000000000000000000000000000000000010001000010000000000000010000000000000000000100000000000000000000000000000000000000000000001000000,0,0,3.6092730340699997,1.0,28.0
SMSSF-0043971,c1ccc2cc3c(cc2c1)c(=O)n(c(n3)C)N=CN(C)C,0000000000000000000000000000000001100000000000000000000000000001100000000100000000100000000000000000000000000000000000000000001000000000000100000000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000010000000100000100001000000000000000000000010000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000100010000000000000000000000000011000000000010000000000000000000000000000000000000000000000000001000000000000010000000000000000000000000001000000000000010001000000000000000000000000010000010000000010000000000000000000000000010000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000100000000,0,0,-19.047972162,1.0,51.0
SMSSF-0044122,c1cnc(cc1Br)C(=O)O,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000001000000000010000000000000000000000000000000000000010000000000000000000000000001001000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000001010000000000000000000000000000000000000100000000000000000000100000000000000000001000000000000000000000000000000000010000001001001000000000000000000010000000000000000010000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0,63.638246984700004,0.0,-20.0
SMSSF-0044155,c1cc(cc(c1)N)c2cn3c(n2)c(ccc3)C,0000000000000001000000000000000001000000000000000000000000000000100000000000010000000000000000010000000000000000000000000000000000000000100000000001000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000001000000000000000000000000010000000000000000000000000000000000000000000010000000000100000000001000000000000000000000000000000000000000001000000000000100000000000000000000000000000010000010000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000100000001000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000001000000000000000000000000010000000000000000000000000001000100000100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000001000000000000000001000000000000000000000000010000000000001000000000000000000000000000000000000000000000010000000000000000000000000000000000010001000010000000000000000000000000000000000000000000,1,0,51.514582309,0.0,-13.0
SMSSF-0044166,c1cnc(cc1Cl)C(=O)O,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000010000000000000000000001000000000010000000000000000000000000000000000000010000000000000000000000000001001000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000001000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000100000000000000000001000000000000000000000000000000000010000001000001000000000000000000010000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0,85.30390533100001,0.0,-22.0
SMSSF-0044210,c1cc2c(cc1C(=O)[O-])sc(n2)N,0000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000010000000000000000000000000000000000000000001000000000000001000000000000000000000000000000000000000100000000000000000000000000000000000001000000000000000000000000000000000000100000000000000000000000010000000000000000000000000000000000000000000000000000010000100000000000000001000000000000000000000000000001000000000000000000000000100000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000100000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000000000000000000000101000000000000000000000000000000000000000100000000001000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000001000000000000000001000000000000000000000000010000000001000100010000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000,1,0,88.72120090879999,0.0,-17.0
SMSSF-0044297,c1ccn(c1)c2ccnc(c2)C(=O)O,0000000000000000000000000000000000000000000000000000000000000000100000000000010000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000001000001000010000000000000000000000000000000000000010000000000000000000000000001001000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000001000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000100000000000001000001000000000000001000000000000000000010000001000001000000000000000000010000000000000000010000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0,95.2373794649,0.0,-14.0
SMSSF-0044339,c1c2c(nccn2)nc(c1Br)C(=O)O,0000000000000000000000100000000000000000000000010000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000001000000000010000000000100000000000000000000000000010000000000000000000000000001000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000100000100000000000000000000000000000000000010000000100000000000000000000000000000000000000000000000000000000000000000000010000000001000000000000000000000000000010000000000000000000000000000000000000001000000000000000000000001010000000010000001000000000000000000000000010000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000,0,0,4.9776706281,1.0,41.0
SMSSF-0044364,c1c2c(cc3c1OCCO3)sc(n2)NN,0000000000000000000000000000000000000000000000000000000000000000000000010100000000000000000000000000000000000000000000000000000010000000000000000001000000001000001000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000001000000100000000000100000000000000000000000000000000000000000001000000000000000000000000000000000001000000000000000000000000000100000000000000000000000000000000000000000010000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000001000000000010000000000000000001010000000000000000000000000000000000000010000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000000000001000000000000000000000000010000010001000000000000000000000000000000000000000010000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000,0,0,24.9430392445,1.0,75.0
