Molecule,SMILES,Fingerprints,Keck_Pria_AS_Retest,Keck_Pria_FP_data,Keck_Pria_Continuous,Keck_RMI_cdd,FP counts % inhibition
SMSSF-0014846,c1cc(ccc1C(=O)Nc2nc3c(s2)CCCC3)OCCCC,0000100000100100000000000000000001000000001000000000000000000000000000000000000010000000000000000000001000000000000000000000000010000000000000000000000000000000001000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000100000000000001000000000000000100000010000100000000000000000000000000000000010000100000000000000001000001100000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000001000000000000000010000000010000000000000000000000101000000000000000000010000000000000000001000100000001000000000000000000000000000000000000000000001000000000000000000001110000000000001000000000000000000000001000000000000000001000000000000000000000000000000000000010001010000000000000000000000000000001010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0,8.82633545108,1.0,60.0
SMSSF-0014848,c1ccc(c(c1)c2csc(n2)NC(=O)C(C)C)OC,0100000000000000000000000000000001000000000000000000000000000000100000000000000000000000000000000000000000000000000001000000000010000000000000000000000000000000000001000000000100000000000000100000000000000000000000000000000000000000000000001000000011000000000000000000000000000000000100000000000000000000000000000000000000000100000000000000000000000000100010000000000000000000001000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001001000000001000000000000000001001000000000000000000000000000000000001000000000000000000000000000000000000000010000000000000000000000001000000000000000000010000001000000010000000000000001000000000000000000000000000000000000000000000000000000000000000001000000000000001000000000000000000000001000000000100000001000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000100000000000000000000000000000000010001000000000000000000000000000000000000000,0,0,-2.02391257176,1.0,36.0
SMSSF-0014849,C(#N)c1ccc(cc1)C(=O)Nc2c(c3c(s2)CCCC3)C#N,0100100000000000000000000000000000100000001000000010000000000000000000000000000000000000000000001000001000000000100000000000000010000000000000000000000000000000001000000000000000000000000000000000000000000000000001001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000010101100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000010000000010000000000000000000000111000000000000000000000000000000000000001000000000001000000000000000000000000000000000000000000001000000000000000000101100000000000001000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000000000000000000000000010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0,-3.88888053915,1.0,19.0
SMSSF-0014915,c1ccc2c(c1)nc(s2)c3c4c(sc3NC(=O)c5ccc(cc5)OCC)CN(CC4)C(C)C,0100000000000000000000000000000001000000001000000010000000000000100001000100000010010000000000010000001000000000001000000000000010000000000000000000000000000100001000000000000100000000000000000000000000000000000000100000000000000000000001000100000000000000000000000000000000000000000100000101001000000000000000000000000000100000000001000010000000000000000010000100000000000000001000000000000000000000000000000000000000000000000010000000000000000000000000001000010000000000000000000000001000000000000000000000000000000000000000000000000000100000000000000000010000000000000000000000000000000000000000100000000000000000000000000000000000000000010000000010000000000000000000000101000000000000000000010000000000000000001000100001001000000000000000000000000000000000000000000011000000000000000000001000100000000001000100000000000000000001001000000000000011000000000000000000000000000000000001000000010000000000000000100000000000100010000000010000000000000000000000000000000000000000000010000000000000000000000000000000000000000000,0,0,-16.912787406,1.0,107.0
SMSSF-0014959,c1ccc2c(c1)nc(s2)c3c4c(sc3NC(=O)c5c(cccc5F)F)CN(CC4)C(C)C,0100000010000001000000000000000001000000001000000010000000000000100000000100000000010000000000010000000000000000001000000000000010000000000000000000000010000100001000000000000100000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000100000101010000000000000000000000000000000000000001000010000000000000000010000100000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000001000010000000000000000000000001000000000000000000000000000000000000000000000000000100000000000000000010000000000000000000000000000100000000000100000000000000000000000000000000000000000000000000010000000000000000000000001000000000000000000000001000000000000001000000001001000000000000000000000000000000000000000000010000000000000100000001000100000000001000100001000000000000001001000000000000011000000000000000000000000000000000001000000010000000000100000100000000000100010000000010000000000000000000000000000000000000000000010000000000000000000000000000000000000000000,0,0,-16.0372516487,1.0,77.0
SMSSF-0015003,c1ccc2c(c1)nc(s2)c3c4c(sc3NC(=O)c5ccc(s5)Cl)CN(CC4)C(C)C,0100000000000000000000000000000001000000001000000010000000000000100000000100000000010000000000010000000000000000001000000000000010000010000000000000000000000100001000000000000100000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000010000100000101000000000000000000000000000000000000000001000010000000000000000010000100000000000000001000000000000000000000000000000000000000010000000000000000000000000000000000001000010000000000000000000000001000100000000000000000000000000000000000010000000000100000000000000000010001000000000000000000000000000000000000100000000000000000000000010000000000000000000000000010000000010000000000000001000000000000000000000000000000000000001000000011001000000000000000000000000000000000000000000010000000000000000000001000100000000001000100000000000000000001001000000000000011000000000000000000000000000000000001000000010000100000000000100000000000100010000000010000000000000000000000000000000000000000000010000000000000000000000000000000000000000000,0,0,-11.438716753800001,1.0,90.0
SMSSF-0015063,c1ccc(cc1)N(C)S(=O)(=O)c2ccc(cc2)C(=O)Nc3c(c4c(s3)CN(CC4)CCC)C(=O)NC,0100000000000000000000000000000001000000001000100010000010000000100000001000000010010000000000000000000000000000000000000100000010000000000100000000000000000000001000000000000100000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000001000001000000000000000000000000100000000000000000000000001000010000010000100000000000000000000000000110000000000000000100000000000000000000000000000000000000000000010001000000000000000000000000000001000000000000000100000000000000000000000000000000000000000000000000000000100000000000000000000000000100000000000100000000000000000000000000000000000000000010000000010000000000000000000000101000000000000000000000000000000000000001100000000001000000000000000000000000000010000000000010001010000000000000010001010000000000001010100010000100000001000000000000000000001000000000000000000000000000000010000000000010000000000000000000000000000100010001000010000000000000000000000000000000000000000000000000000000000000100000000000000000000000000,0,0,-20.4710036173,1.0,37.0
SMSSF-0015094,c1ccc2c(c1)-c3c(sc(n3)NC(=O)c4nc5ccccc5s4)C2,0000000000000000000000000000000000000000001000000000000000000000100000000100000000000000000000000000000000000000000010000000000010000000100000000000000000000000001000000000000100000000000000000100000000000000000010000000000000000000000000000010000000000000000000000000000000000000000000000100000000000000000000000000010000010000000000000000000000000000100010000000000000000000001000000100000000000000000100000010000000000000000000000000000000000000000010000000010000000100000000000000001000000000000000000000000000000000000000000000000000001000000000000000010000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000010000000000000000000000001000001001000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000001000000000000001000000000000000000000001000000000000000001000000000000000000000000000000000001000001010000000000000000000000000000000010000000000000001100000000000000000000000000000000000010001000000000000000000000000000000000000000,0,0,0.9361677963670001,1.0,151.0
SMSSF-0015261,c1ccc(cc1)N2C(=O)CC(C2)C(=O)Nc3nnc(o3)c4ccco4,0000000000000000000000010100000000000000000000000000010000000000100000000000000000000000000000100000000000000000010000000100000010000000000010000000000000000000000000000000000100001000000100000000000000000000010000000000000000000001000000000000000000000000000000001000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000010001000000000000000001000000000010000000000000000000000000000000000000000000100000000000000000000000000001000000000001000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000100000100000000000000000000000000000000000001000000000000000000000000000000010000010000000000000000000000000000000010000000000000000000000000000000000001000000000000100000000000001000000000000000000000000001100010100001000001001000001000000000000010000000000000000000000000001000000000000000000000000000000000000000000010000000010000000000000000000000010000000010000000000001000000000000000000000000010000000000000000000000000000000000000000000010000,1,0,64.6686091792,0.0,-19.0
SMSSF-0015646,c1(c(c([nH]c1C)C(=O)CN2CCCCCC2)C)C(=O)OC,0010100000000000000010000000000001000000000000000000000000000000000000000000000010000000001000000000000000000000000000000000000010000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000001000000000000000000100000000001000000000000000000000000000000000000000000010000000000000000000000010000000000000000000000000000001000000000010000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000001000000000000000000000000000000000000010000000000001000001000000000000000000000010010010000000000000000100000100000000000000000000000000000000000000000000010000000000000000000000000000000000000001000000000000000000000000000000000100000000000000000000000000000000000000000000000000010000000000001000000000000000000010000000010000000000001000000000000000000000000010000000000000000000000000000010000000000000000000,0,0,-4.95986887565,1.0,61.0
