Molecule,SMILES,Fingerprints,Keck_Pria_AS_Retest,Keck_Pria_FP_data,Keck_Pria_Continuous,Keck_RMI_cdd,FP counts % inhibition
SMSSF-0039974,c1ccc2c(c1)-c3c(sc(n3)N)CC2,0000000000000010000000000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000001000010000000100000000000000000000000000000000000010000000000000000000000000001010000000000000000000000000000000000100000000000000000000000000000000000000000000010000000000000000000000000000100010000000000000000000001000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000001000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000001000000001000000000000000000000000000001000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000100000000000000000000000000000000000000001000000000000000000000000000000000000000,1,0,55.886157868599994,0.0,-18.0
SMSSF-0039995,c1ccc2c(c1)c(=O)cc(o2)C(=O)Nc3c(c4c(s3)CN(CC4)C(=O)C)c5nc6ccccc6s5,0100000000000000010000000000000001000000001000000010000000000000100000000100000000010000000000010000000010000000001000000000000010000000000000000001000000000000001000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000100000101000000000000000000000010000000000000000001000010000000000000000010000100010010000000001000000000000000000000000000000000000000000000000000000000000000000000000000001000010000000000100000000000001000000000000000000000000000001000000000000000000000000000000001001000010000000000000001000000100000000000000000100000000000000000000000000000000000000000000000000010000010000000000000000001000000000000100000000000000000000000001000000001001000100000000000000000000000000000000000000000000000000000100000001000000000000001000100010000000000000001001000000000000011000000000000000000000000010000000001000000010000000000000000100000000010100010000000010000000000000000000000000000000000000000000010000100000000000000000000000000000001000000,0,0,-5.16419832819,1.0,104.0
SMSSF-0040003,c1cc2c(cc1c3csc(n3)NC(=O)COc4ccc(cc4Cl)Cl)OCCO2,0000000000010000000000000000000000000000010000000000000000000000000000000000000010000010000000100000000000000000000001000000000010000000100000000000000000000000100101010000000000000000010000101000000000000000000000001000000000000000000000001010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000001000000000001000000100000000000000000000000000000000000000000010000000000001000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000001000000001000000001000000000000000000000000000000000000000000000000000000000000010000000000000000000000000010000010010000000000000001000000000000000000010000001000000000000000000000001000000001001000000000000000000000000000000000000000000000000000001000000000000011000000001000000000000001000010000000000001000000000000000000000000010000010000000000010010000000000000000000000000000010000000000000000000100010000000000000000000000000000010000000000100000000000000000000000000000000,0,0,-4.583267391230001,1.0,30.0
SMSSF-0040009,c1ccc(cc1)CN2Cc3c(c(c(s3)NC(=O)c4ccc(s4)c5nc6ccccc6s5)C(=O)OC)CC2,0100000000011000000000000000000001000000001000000010000000000010100000000100000010010000000000000000000000000000001000000000000010000000000000000100000000000000101000000000000100000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000010000000000101000000000000000000000000000000000000000000000000000000000000000010000100000000000000001000000001010000000000000000000000000000010000000000000000000000000000000000001000010000000000000000000000001000000000000000100000000000000000000000000000000000000000000000000000010000000000000000000000000000100000000000100000000000000000000000010000000000000000000000000010000000010000000000000001000000000000000000010000000000000000001000000010001000100000000001000001000000000000000000010000010000000000000000001010000000000001110100000000000000000001000000000100000001000000000000000000000000000000000001000000010000000000001000100000000000100010000000010000000000000000000000000000000000100000000010000000000000000000000000000000000000000000,0,0,-18.386733168800003,1.0,99.0
SMSSF-0040123,c1ccc2c(c1)nc(s2)c3c4c(sc3NC(=O)c5ccc(s5)Br)CN(CC4)C(=O)OCC,0100000000000000000000000000000001000000011000000010000000000000100000000100000010010000000000010000000000000000001000000000000010000000000000000001000000000000001000000001000100000000000000000000000000000000000000100000000000000000000000000100000000000000000000000000000000000010000000000101001000000000000000000000000000000000000000000010001000000000000010000100000000000000001000000000000000000000000000000000000000010000000000000001000000000000000000001000010000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000110000000100000000000000010000000000000000000000000010000000000000000000000001000000000000100000010010010000000000001000000011001010000000000000000000000000000000000000000000000000000000000000001000000000000001000100010000000000000001001000000000000011000000000000000000000000000000000001000000010000000000000000100000000000100010000000010000000000000000000000000000000000000000000010000100000000000000000000000000000000000000,0,0,-1.7706317714700002,1.0,62.0
SMSSF-0040165,c1cc2c(cc1C(=O)Nc3c(c4c(s3)CN(CC4)C(=O)OCC)C(=O)OCC)scn2,0100000000000000000000000000000001000000011000000010001000000000000000000100000010010000000000000000001000000000000000000000000010000000000000000101000000000000001000000001000010000000000000000000000000000000000000101000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000001000000000000010000100000000000000001000000000000000000000000000001000000000000000000010000000000000000000000000001000000000000000000001000000001000000000000000000001000000000000000000100000000000000001000000000000000000000000000000000000000000100000000000100000000000000000000000000000000000000000000000000010000000000000000000000101000000000000100000010010000000000000001000000000001010000000000000000000000000000001000000000001000000000000000000001000000000000001110100010000000000000000000000000000000001000000000000000000000000010000000001000000010000000000000000000000000000100010000000010000000000000000000000000100000000000000000000000100000000000000000000000000000000000000,0,0,-21.1924363946,1.0,78.0
SMSSF-0040244,c1cc(cc2c1n(c(=NC(=O)C(C)C)s2)CCOCC)NC(=O)C,0100000000000100000000000000001001000000000001000000000000000000000000000000000010000000000000000000000000000000000000000100000010000000000000000000000000000000001100010000000000000000100000010000000000000000000000100000000000000000000000000000010000000000000000000000000000000000000100000000001000000000000000000000000000000100000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000101000000000000000000000000000000100000100000000000000000000010010000000000000000000001000001000000000100010000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000000001000000000100001000000000000000000000010000000000001000001000000000000000000000000010000000001000000110000000000001000000000000000000000000000010000000000000000000000000000000010000000000000000000000000000100000000000000010001000000,1,0,36.7394645455,0.0,-20.0
SMSSF-0040272,C(#N)c1ccsc1NC(=O)c2cccs2,0100000000000010000000000000000000000000000000000010000000000000100000000000000100000000000000000000000000000000100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010001100000000000000000000010000000000000000000000000000000000010000000000000000000000000000100000000000000000000000000000000000001000000000000000000010000000000000000000000000000000000001000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000100000000000011000000000000000000000000000000000000000000000010001000000010000000000000000000000000000000000000000000000000000000101000000000000001000000000000000000000000000000100000000001000000000000000000000000000000000000000000010000000000000000000001000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0,-9.227511652639999,1.0,31.0
SMSSF-0040447,c1cc(nc2c1c(cc(n2)O)C)N,0000000000000000000000000000000001000001000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000010100000000100000000001000000000000000000000000000000000000000000000100001000100000000000000000000000000000000000001000000000000000000000000000010000000000000000000000000000000000000000000000000001000000000000000000000000010000000000000000000001000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000010000000000100000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000001000000000000000001000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000,0,0,-0.637642316286,1.0,106.0
SMSSF-0040479,C#CCn1c2ccc(cc2sc1=NC(=O)c3nc4ccccc4s3)NC(=O)C,0000000000000000000000000000001011000000000001000000000000000000100000000100000010000000000000000000000000000000000010000000000010000000000000000000000000000000001000000000000100000000100000010000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000010000000000000000000001000000000000000000000000000000000000000010000000000000000000000000000000011000000010000000000000000000000000000000000000000000000000000000000000000000010000000000000000000100000010000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000010000000000000001000000011000001000000000100000000000000000000000000000000011000000000010000000001000000000000000000000000000000000000000000001000000000100001000000000000000000000001000000000001000001000000000000000000000000010000000001000000010000000100001000000001000000000000000000010000010000000000000000000000000000000010000010000000000000000100000000000000000001000000,0,0,9.15939785565,1.0,77.0
