Molecule,SMILES,Fingerprints,Keck_Pria_AS_Retest,Keck_Pria_FP_data,Keck_Pria_Continuous,Keck_RMI_cdd,FP counts % inhibition
SMSSF-0053659,c1cc(sc1)C=C2C(=O)c3ccc(cc3O2)OC(=O)N4CCOCC4,0000000000010010000000000000000000000000010000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000010000001000000000000100000000000000000000000000000000000000010000000000000000000000000000000010000000100000000000000000000010000000100010000000000000000000000011010000000100000000000000000000000001000000000000000000000000000000000010001000000000000000000000000000000100000000000000000000000000000000000100000000000000000001000000000001000000000000000000001000000000000000000100000000000000000000000000000000000000000000000000000010000010000000000000000001000010000000000000110000000001000000000000100000001000000000000000000000000000000000000000000000000000000000001000000000000000000001000000000000000000000000000000000000000001000000000000000000000000010000010000001000010000010000100000000001000000000010000000010000000000000010000000000000000000000000000000000100000000000000000000000010000000000000,0,0,2.55875498509,1.0,80.0
SMSSF-0053696,c1ccc2c(c1)nc(s2)CC(=O)c3ccc(cc3O)O,0000000000000000000000000000000000000000000000000000000000000000110100000100000010000000000000000000000000000000000000000000000000000000000000000000000000000100001000000000000100000000000000000000000000000101000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000100000000000000000000000000000010000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000010000000000000000001000001000000000000000000000000000000000000000010000000001000000000000000000100000000000000000000000000000000000000000000000000000000000001000000000000000000001001000000000000000001000000000000000000000000010000000001000001010000000000000000000000000000000000000000000000000000000000000000000000000100000000000010000000000000000000000000000000001000000000,0,0,18.8034006505,1.0,31.0
SMSSF-0053853,c1ccnc(c1)c2csc(n2)N,0000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000010000000000000001001000000000000000000000000100000000000000000000000000000000000000000000000000001000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000010000000000000000000001000000000000000000000000000000000000000000000000010000100000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000001000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010001000000000010010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000010000000000000000000000000000000000000000000,1,0,106.170665598,0.0,-34.0
SMSSF-0053877,c1cc(cc2c1C(=O)C(=Cc3ccc(cc3)Cl)O2)O,0000000000000000000000000100000000000000000000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000001000000000000000000000000000000000000000000000000000010000000100000000000000000000000010000000000000000000000000000010000000100010000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000100000000000000000000000001000000000000000000000000000000000000000000000001000000000000000010000000000000000000000000000000000000000000000000000000000000000000000010000010010000000000000000000010000000000000100000000000000000000000000000001000000000000000000100010000000000000000000000000000000000001000000000000000000001000000001000000000000000000000000000000001000000000000000000000000010000010000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000,0,0,-0.8034750510690001,1.0,92.0
SMSSF-0053897,c1ccc(c(c1)C(=O)Nc2nc(cs2)c3ccccn3)[N+](=O)[O-],0000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000001000000000010010000000000000000000000000000000010000001000100000000000000100000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000001010000000000000000001001000000100000000000000000000000000000000000001000010000000000000000000100000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000001000000001000000000000000000000000000000000000000000000000000001000000000000000001010000000000000000000000010000000000000000000000001000000000000000000000000001000000000000110000000001000000000000000000000000001000000000000000000000000000000000000001000000000000001000000000000000000010001000000100010000101000000000000000000000000000000000000000000010000000000000000000000000000000000000000000001000000000000000000000100000100000000000010000000000000000000000000000000000000000000,1,0,104.567463617,0.0,-32.0
SMSSF-0053921,c1cc(sc1)C=C2C(=O)c3ccc(cc3O2)O,0000000000000010000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000001000000000000100000000000000000000000000000000000000010000000100000000000000000000000010000000000000000000000000000010000000100010000000000000000000000011010000000100000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000100000000000000000000000001000000000000000000000000000001000000000000000000000000000000000010000000000000000100000000000000000000000000000000000000000000000000000010000010000000000000000001000010000000000000100000000000000000000000000000001000000000000000000100000000000000000000000000000000000000001000000000000000000001000000000000000000000000000000000000000001000000000000000000000000010000010000001000000000000000100000000001000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0,-4.39051760255,1.0,96.0
SMSSF-0054074,c1cc(ccc1C)NCc2cc3cc(c(cc3n(c2=O)CC(=O)Nc4ccc(cc4F)F)OC)OC,0000000000000000000000000000000001001000010001000000000000000010000000000000000010000001000000000000000000000000000000100000000010000000000000000000000000000000000000000000000000000000000000010000000010000000000000000000010000000000000100000000010001000001000010000000000000000000000000001000000000000000000000000010000000000100000000000000000000000000000010010000000000000000000000000010000010000000000000000000000000000000000000000000000000000000000000000100000100000000000000000000000000000000000000001000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010000000000000000000000000000010000000000000010011000000000000000000000000001000000000000000000000000000100000000000000000000000000000000000001100000100100001000000001000010000000001101000000101000011000000000000100000000000010000000000000001010010000000100000000000000000001000000000010000000000100000000000000000000000000000000000000000000000000000000000000000000000000000,0,0,-8.879924205130001,1.0,56.0
SMSSF-0054142,c1ccnc(c1)c2nnn[nH]2,0000000000000000000000000000000000000000000000000000000000000000100000000110000000000000001000000000000000000000000000000000000000010000000010000000000000000000000000000000000100000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000010000000000000000000001000000000000000000000000000000000000010000000000010000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000010000001000000000000000000000001000000000000010000000000000000000000000000000000100000010000000000000000000000000000000100000000000000000010000000000000000000000000000000000000000000,1,0,106.94442418,0.0,-28.0
SMSSF-0054500,c1cc2c3c(c1)C(=O)N(C(=O)c3ccc2[N+](=O)[O-])OC(=O)C,0000000000010001000000000000000001000000000000010000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000010000000000000000000000000000000000010000000000000000000000000000000000000000000010000000000000000000000010000001001000000101000000000000000000101010000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000001000000000000000000000000000000000000000000000000000000000010000000000000000000010000000000000000000000000000010000000000010010000000000000000000110000000001000000000000000000000000001000000000000000000000000000000000000000000000000000001000000000000000000000000000000100000000001000000000000000000000000000001000000000000010000000000000000000000000000000000000000010001000000000000000000001000000000000000000000001000000000000000000000000000000001000000,0,0,18.4636501067,1.0,78.0
SMSSF-0054587,c1ccc(cc1)CNC(=O)Cn2c3cc4c(cc3cc(c2=O)CNc5ccc(cc5)CC)OCCO4,0000000000000000000000000000000001001000011001000000000000000010100000000000000010000001000000000000000000000000000000000000000010000000000000000100000000000000000000000000000100000000000000010000010000000000000000000000000000000000000000000000010000000001000000000000000000000000000000001000001000000000000000100010000000000100000001000000000000000000000010010000000000000000000000000000010010000000000000000000000000000000000000000000000001000000000000000100000100000000000000000000000000000000000000001100000100000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000100000000000000010000000000010000010000000000000000000000010000000000000000000000000000000000000000000001000100000001000000000000000000000000000000000000100000000000000000100000000100001000000000000010000000001001010000001000001000000000000000000000000010000010000000000010000000000000000000000000000000010000000010000000000000010000000000000000000000000000000000000000000000000000000000000000000000000,0,0,19.3599801658,1.0,22.0
