Molecule,SMILES,Fingerprints,Keck_Pria_AS_Retest,Keck_Pria_FP_data,Keck_Pria_Continuous,Keck_RMI_cdd,FP counts % inhibition
SMSSF-0046529,c1cc(oc1)C(=O)Nc2ccc(cc2)Nc3ccc(nn3)n4cccn4,0001000000000000010000000000000000000000001100000000010000000000100000000001010000000000001000000000000000000000000000000000000010000000000010000000000000000001000000000000000000000000000000010000000000000000010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010100000000000000000001000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000001000000000001000010000000010000000000000000000000000010000000000001000000000000000010000000000000000000000000000000000000000000000000000000000000001000000000000010000000000000010000010000000000000000000000000000000000000000000000000000000000000000000001000100000000000000000000000000000000000000000000000000000000100001000000000000001000000000000000000000000000000000011000001000000000000000000000000000000000000000000010000000010000000000000000000000000000000010000000000000000001000000010000100000000000000000000000000000000000000000000000000000000,0,1,89.17759381309999,0.0,-16.0
SMSSF-0053591,c1ccc(c(c1)C(=O)Nc2nc(cs2)c3ccccn3)Br,0000000000000000000000000000000000000000000000000000000001000000100000000000000000000000000000000000000000000000000001000000000010010000000000000000000000000000000000000000000100000000000000100000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000010000000000000000000001000000100000000000000000000000000000000000001000010000000000000000000100000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000001000000001000000000000000000000000000000000000000000000000000000100000000000000001010000000000000000000000010000000000000000000000001000000000000000000000000001000000000000000000001001010000000000000100000000000000000000000000000000000000000000000001000000000000001000000000000000000010001010000000010000101000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000100000100000000000010000000000000000000000000000000000000000000,0,1,90.57444204,0.0,-32.0
SMSSF-0056607,c1ccc(cc1)C2=NN(C(C2)c3ccc4c(c3)nccn4)C(=O)c5cccs5,0000000100000010000001000000000000000000000000010000000000000000100000000100000100000000000000000000000000000000000000000000000000100000100000100000000000000000000000000000000100000000000000000000000000000000000000000000000000000001000000000100000000000001000000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000000010000000000000000000011000010000010000000000000000000000000100010100000010000000000010000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000010000000000000000000000001000000000100000000000000000000000000000000000000101000000000100000010000000000000000000000000000000000010000000000000000000000000001000000000000000000000000000000000010000001000000000000000000000000010000000000000000010000000000000000000001000000000010010000010000000000000000000000000100000000000000000000000000000100000000000000000000000000010000,0,1,36.5690663308,0.0,-15.0
SMSSF-0019271,c1cc(cc(c1)CS(=O)(=O)Nc2ccc3c(c2)N(CCC3)CCOC)C,0000110000000101000000000000000101000000001000000000000000000000110000000000000010000000000000000001001000100000001000000100000010000000000000000000000000000000000000000100000001000000000000010000000000000000000010000000000000000000000000000100001000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000010000010000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000010001010000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000010000000000000100000000000000000000000000000010010000000000000001000000000001000100000000000001000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000100000101000001001000000000000000000000010000000000000000000000000000000000000000000000000010000000010100000000000000000010000000000000000000000000000000000000000000000001000000010000000000,0,1,40.002598515,1.0,71.0
SMSSF-0021761,c1ccnc(c1)c2nnc3n2nc(cc3)c4ccc(cc4)NC(=O)c5cccnc5Cl,0100000000000000000100001000000000000001000000000000010000000000100000000000000000000000000000000000000000000000000000000000000010010000100010000000000000000000000000000000000100000000000000010000000000100000000000000100000000000000000000000000000000000000000000000100000000000000000000000000000000000100010000000000000000000000000000000001000000000000000010000000000000000000001000000000000000000001000000000000100000000001000010000000000000000000100000000000000000000000000000000000101000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000000000000000000000000000000000000010000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000001000000000000001000000000001000000010000000000000011000101000001000100000000000000000000000000000000010010000000000000000000000000100000000010010000000000010000001000000100000100000000000010000000000000000000000000000000000000000000,1,0,86.719471396,0.0,-3.0
SMSSF-0000087,C(#N)c1c2c(sc1NC(=O)c3ccccc3F)CCCC2,0100100010000000000000000000000000000000001000000010000000000000100000000000000000000000000000001000000000000000100000000000000010000000000000000000000000000000001000000000000100000000000000000000000000000000000001001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000010101100000100000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000010000000000000000000000011000000000000000000000001000000000000001000000000001000000000001000000000000000000000000000000000000000000000000000101100000000000001000000001000000000000000000000000000000101000000000000000000000000000000000000000000010000000000100000000000000000000010000000100000000000000000000000000000000100000000000000000000000000000000000000000000000000000000,0,0,1.40083288846,0.0,-20.0
SMSSF-0005994,c1cc(ccc1C(=O)CSCC(=O)c2ccc(cc2)[N+](=O)[O-])[N+](=O)[O-],0000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000010000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000010010000000000000000001000100000000000000000000000000000000000000000100000000001000000000000000000000000001000000000000000100000000000000010000100000000000000001000000000000000000000000000000100000000001000000000001000000000000000000000000000000010000000000000000000000000000000000000000010001000000000000010000000000000000000000000000000000000000000000000000000000000000000000,0,0,11.4729045528,0.0,-17.0
SMSSF-0006313,c1cc(nc(c1C(=O)O)O)C,0000000000000000000000010000000001000000000000000000000000000000000100000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000010000000000000000000001000000000010000100000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000010000000010000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000001000000000000000001000000100000000000000000000000000000000000010000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000,0,0,9.236768424189998,0.0,-19.0
SMSSF-0006403,c1cnccc1c2n[nH]c(=S)n2CC=C,0000000000000000000000000000000000000000000000000000000000000000000000000010000010000000001000000100000000000100000000000000000000000000100000000000000000000000000000000000000000000000100000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000010000000000000000000001000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000100000000000000000000000000000000000000000000000000000000100001000000001000000000000000001000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000001100010000000000000000000000000001000000000000000000000000000000000000000000000000001010000000000000000100000100000000000000000000000000001000000000010000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000010000000000000000000000000000000000000000000,0,0,-0.8343776888910001,0.0,-24.0
SMSSF-0008449,c1ccc2c(c1)nc([nH]2)Sc3c4c5c(sc4ncn3)CCCC5,0000100000000000000000000000000010000000001000000000000000000000100000000100000000000000001000000000000000000000000010010010000000000000000000000000000000000000001001000000000100010000000000000000000000000000000000000011100000000000000000000000000000000000000000000000000000000000000000100100000000000000000000100000000000000000000000000000000100000000000010000100000100000000001000000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000001000000000000000000000100000000000000001000000100000000000000001000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000001000000100001000000000000000000000000000000001000000000000000000000000001000000100000000000000000000000000000000000001000000000000000001000000000000000000000000000010000000000000000000000000000000000000000000000010000000000000000000000001000000001000000000000000000000000000000000000100000000000000000000000000,0,0,-2.29130525853,0.0,-30.0
