Molecule,SMILES,Fingerprints,Keck_Pria_AS_Retest,Keck_Pria_FP_data,Keck_Pria_Continuous,Keck_RMI_cdd,FP counts % inhibition
SMSSF-0036488,c1cc(cc(c1)Cl)Nc2nc(cs2)CC(=O)Nc3ccc4c(c3)OCCO4,0000000000010001000000000000000100000000010000000000000000000000100000000000000010000000000000000000000011000000000001000000000110000000000010000000000000000000000001000000000000000000100000010000000000000000000000001000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000100010000000000000000000000000010000000000000000000001000000100000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000010000000000000100000000000000000000000000000000000001000000001000000001000000000000000000000000000000100000000000000000000000000000010000000000000000000000000010000010110000000000000001000000000000000000000000000100000000000000000000101000001000001000000000000000000000000000000000001000000000000000001000000000000001000000000000000000000001000010000001000001000000000000000000000000010000010000000000010000000100000000000000000000000010000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000,0,1,47.782376517399996,0.0,-23.0
SMSSF-0049237,c1cc(cc(c1NC(=O)c2c(nns2)C)[N+](=O)[O-])OCC,0000000000000000000000000000000001000000000000000000000000000000000001000000000010000000000010000000000000000000000000000000000010000000000010000000000000000000000000000001000000000000000000000000000010000000000000100001000000000000000001100000000000000000000000000000000000000000000000010000001000000000000000000000000000100000001000000000000000000000001010000000000000000000001000000000000000000000000000000000000000000000000010000000000000000000000100000000000000000000000001000000001000000000000000000000000000100000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000001000000000000000000010010000000000000000110100000001000000000000000000000000001000000000000000000000000000100000000001000000000000001000000000000001010000000100000100000000001000000000000000000000000010000000000000000010000000000000000000000000000000000000000000001000000010000000000000000000000000000000000000000000000000000001100000000000000000000,0,1,51.9088026051,0.0,-17.0
SMSSF-0059797,c1ccc2c(c1)ccn2CCNC(=S)NCCc3cc4ccc(cc4[nH]c3=O)C,0000000000000000000000000010000001000000000001000000000000000001100000000000010010000000001000000100000000000010000000010101000010000000000000000000000000000000000000000000000100000000000000000000010000010000000000000001000000000000000100000000000000100000000001000000000000000000000000000000000000000000000000000010000000000100000000000000000000000000000010000000000000000000000000000000000000000000000000000000100000000000000000010000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000010000100000000001100000000000000000000000000000010000000000000000000000100001000000000000000000000001000000000010000000000000000000100000000000000100100000001000000000000000000001011001000000000000001000000000000000000000000010000000000000000000000000000000000000000000000000000000000010000000010000000000000000000001000000000000000001000000000000000000000000010010100000000,0,1,46.3646023597,0.0,-24.0
SMSSF-0064375,c1ccc(cc1)OCC(=O)Nc2nc-3c(s2)-c4cccc5c4c3ccc5,0000000001000001000000000000000000000000010000000000000000000001100000000000000010000000000000000000001000000000000000000000000010000000000000000000000000000000001000010000000100000000000100001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000010000110000000000000000000000000000100010000000000000000000001000000100010000000000000000000010000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000010000000000000000000000000000010000000000000000000000001000000000000000000010000000000000000000000000000011000000001000000000000000000000000000000000000000000000000000000001000000000000001000000000000000000000001000000000000000001000000000000010000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000001000001000000000000010001000000000000000000000010000000000000000,0,1,41.7335901671,0.0,-14.0
SMSSF-0040244,c1cc(cc2c1n(c(=NC(=O)C(C)C)s2)CCOCC)NC(=O)C,0100000000000100000000000000001001000000000001000000000000000000000000000000000010000000000000000000000000000000000000000100000010000000000000000000000000000000001100010000000000000000100000010000000000000000000000100000000000000000000000000000010000000000000000000000000000000000000100000000001000000000000000000000000000000100000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000101000000000000000000000000000000100000100000000000000000000010010000000000000000000001000001000000000100010000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000000001000000000100001000000000000000000000010000000000001000001000000000000000000000000010000000001000000110000000000001000000000000000000000000000010000000000000000000000000000000010000000000000000000000000000100000000000000010001000000,1,0,36.7394645455,0.0,-20.0
SMSSF-0002135,c1ccc2c(c1)c(nc(n2)O)O,0000000000000000000000000100000000000000000000000000000000000000100000000100000000000000000000000000000000100000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000001000000000000000000000010000000000000000000001000000000010000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000010000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000,0,0,-4.266247245480001,0.0,-28.0
SMSSF-0004031,c1ccc(cc1)N2C(=O)C=C(C2=O)Nc3ccccc3,0000000000000000000000000100000000000000000000000000000000000000100000000000000000001000001000000000000000000000000000000000000010000000000000000000000010000000000000000000000110000000000000010000000010000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000010000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000100000000000000000000001000000000000000000000000000000000000000000000000000000000000000000001000001000000100000000000000000000000000000000000000001000000000000000000000010000001000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000001000000000000000000000000000000000000000000000,0,0,-0.9607733720489999,0.0,-21.0
SMSSF-0009155,c1ccc(cc1)Oc2ccc(cc2)NC(=O)c3ccccc3C(=O)O,0000000000000000000000010000000000000000000000000000010000000000100000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000100000000000000010100000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000100000010000000000000000000000000000000010000000000000000000000000000000001000000000000000000000000000000001000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000010000000000000000000000000000010000000000000000000000000010000000000000000000000000000000000000000000010000000000000000000000100000001000000000000000000000000000000000000000000000000000000000000000001000000000000001000000000000000000000000000000000001000101000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000001000000000000100000000000000000000000000000000000000000000000000000000,0,0,17.9372639982,0.0,-24.0
SMSSF-0009721,c1cc(c(c(c1)Cl)CSc2nc(=O)c(n[nH]2)C)F,0000000010000001000000000000000001000000000000000000000000000000100000000010000010000000001010000000000000000000000010000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000100000000000000000000000000010000000000000000000000000010000000000000010000000001000000000001000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000000000000010000000000000000000000011000000000000000000000000001000000000000000000000000000000000001000000000000000000000000000000000000000000000000000001000000000000001000000000000000001000000000001000100000100000000010000000000000000000000100000000000000000000000000000000010000000000000000000000000000000000010001010000000000000000000000000000010000000000000,0,0,-0.0960032536953,0.0,-19.0
SMSSF-0009729,c1cc2cccc3c2c(c1)C(=O)N(C3=O)CC4CCCO4,0000100000000001000000000000000000000000000000000000000000000001100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000100000000000010000000000000000000000000000000000000110010000100000100000000000000000000000000000000000000000000000010000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000010000000000000000000000000000000000001000000010000010000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000010000000001000000000000000001000000000000000000000000000001000000000000000000000000000010000000000000000010000000010000000000000010000000001000000000000000000000001000000000000000000000010000000000010000,0,0,0.9262390797679999,0.0,-26.0
