Molecule,SMILES,Fingerprints,Keck_Pria_AS_Retest,Keck_Pria_FP_data,Keck_Pria_Continuous,Keck_RMI_cdd,FP counts % inhibition
SMSSF-0030794,c1cc(sc1)Cc2nnc(o2)NC(=O)c3ccc(cc3)S(=O)(=O)N(C)CCCC,0000000000000010000000000000000001000000000000000000000000000000100000000000000010000000000000000000000000000000000000000000000010000000000110000000000000000000000000000000000000001000000100000000100000000000000001000000000000000000100000000100000000000000000000001000000000000000000000000000001000000000000000000000000100000000000000000000000000001010000010000100000000000000001000010000000000000000000000100000000000000000000001000000000000000000000010000000000000000000000000000000001000000000000000000000000000000000000000000000000000000001100000000000000000000000000001000000100000000001000000000000000000000000000000000000000000000000010000000010000010000000000000000101000000000000000000000000000000000000000100000000001000000000000000100000000000010000000000000001000000000000000000001010000000000001000000010000000000000000000000000000000001000000000000000000000000000000010000010000010000000000000000000000010000100001000000000000000010000000000000000100000000000000000000000001000000000000000100000000000000000000,0,1,57.8654206648,0.0,6.0
SMSSF-0042107,c1cc2cccnc2c(c1)SCC(=O)NCCc3ccc(cc3)Cl,0100000000000001000101000000000000000000010000100000000000000001100000000000000010000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000010000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000100010000000000000010000000000000000000011000000000000000000000000000000000000000000000000010000000000000000000110000000000000000000000000000010011000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000001000000000000000000000000000000000000000000000000000010000000010000000100000000000000000000000000000000100000000000000000000000001000100000000000000000000000000000000000000000000000000000000000000000000000000001000000001000000000001001000000000010000001000000000000001000000000000000000000000000010000000000000000000001000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000001000000,0,1,76.5633078345,0.0,-10.0
SMSSF-0046312,c1cc(cc(c1)F)NC(=O)Nc2ccc(cc2)Nc3ccc(nn3)n4cccn4,0001000000000001000000000000000000000000000100000000010010000000100000000001010000000000001000000000000000000000000000000000000110000000000010000000000000000000000000000000000000000000100000010000000000000000000100000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010100000000000000000001000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000000000000000000000000010000000010000000000000000000000000010000000000001000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000010000000000100010000000000000000000000000000000000000000000000001000100000000000000000000001000000000000000000000000000000000000000000000000000000000000000001000000000000001000000000000000000000000000000000011000001000000000000000000000000010000000000000000010000000000100000000000000000000000000000010000000000000000000000000010011100000000000000000000000000000000000000000000000000000000,0,1,35.7830118918,0.0,-84.0
SMSSF-0056404,c1cc2cccc3c2c(c1)C(=O)N(C3=O)CCN4CCN(CC4)CC(=O)c5ccc(cc5)OC,0000000000000001000010000000000001000000000000000000000000000001100000000010000010000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000001000000000000000000000000010000000100000000000000000000000000000100010000100000000000000000000000000000000000000000000000000000011000000000000000000000000000000000000001010000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000010000000000000000000000000001000001000000000000000000000000000001000000000000000001000000010000000000000000001000100000000000000000000010000000000000000000000100000011000000000000000000000000000000000000000010000000000000100000000000000000000000001000000000000000000000001000000000100000001000000000000000000010000000001000000000000010000000000000000000000000000000010000000010000000000000000000000001000000000000000000000001000000000000000000000010000000000000000,0,1,62.1876963453,0.0,28.0
SMSSF-0057439,c1ccnc(c1)CN2Cc3c(ccc4c3OC(=Cc5cccc(c5)F)C4=O)OC2,0000000000010001000100000000000000000000000000001000100000000000100000100000000010000000000000000000000000000000000000000000000001010000000000000000000000000000000000000000100100000000000000000000000000000000000000000000010000001010000000000000000000000000000000100000001000000000010000000000000000000000000000000010000010000010010000000000000000000000100010100100010000000000001000100000000000000000000000000000000000000000000010000000000001000000100010000000000100000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000100010000010000000000000000000000010000000000000100001000000000000001000000000101000000000000001000000000010000000000000010000000000000000001000000000000000000000000000000000000000000000000000000010000001000000000000000000000000010000010000000000000000000000100000000000000000100010000000010000010001000000000000000000000000000000000000000000000000000000000000000100000000000000,0,1,70.3765784909,1.0,38.0
SMSSF-0000321,C(#N)c1c2c(sc1NC(=O)CN3CCOCC3)CCCC2,0000100000000010000000000000000000000000011000000010000000000000000000000000000010000000000000001000000000000000100000000000000010000000000000000000000000000000001000000000000000000000000000000000000000000000000001001000100000000000000000000000000000000000000010000000000000000100000000001000000000000000000000100000000000000000000000000000000000000000000010101100000100000000000001000000000000000000000000000000000001000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000010000010000000000000000011000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000010000000000000000000000101100000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000010010000000000000000000000000000010000000010000000000000010000000000000000000000000000000000000000000000000000000000000000000000000,0,0,-6.21569603972,0.0,-17.0
SMSSF-0001907,c1nc2c(c(n1)SC)nc[nH]2,0000000000000000000000000000000011000000000000000000000000000000000000000000000000000000001000000000000000000000000010000000000010000000000000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000010000000000000000000001000000000000000100000000000000000000000000000000010000000000000000000000000010000000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000010000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000010000000000001000000000000001000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000,0,0,-4.6715137171,0.0,-22.0
SMSSF-0003082,c1c(cc(c(c1OC)OC)OC)C(=O)NN,0000000000000000000000000000000001000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000010000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000001000000000000000000000000000000000000000000000000001000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000001000000000000000000000000010000000000000000000000000010000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000010000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000001000000000000000000000000000000000100000001000000000000000000100000010000000000000000010000000000000000000000000000000000000000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000,0,0,-4.78583013598,0.0,-24.0
SMSSF-0005833,c1ccc(cc1)c2c[nH]cn2,0000000000000000000000000000000100000000000000000000000000000000100010000000000000000000001000000000000000000000000000000100000000000000100000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000001000000000010000000000000000000000000000000000000010000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000001000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000001000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000010000000000000000000000000000000010000000000000000000000000000000000000000000,0,0,12.722105322300001,0.0,-14.0
SMSSF-0007368,c1cc(oc1)CNC(=O)c2ccc(cc2)C(C)(C)C,0000000000000000000000000000000001000000000000000000000000000000100000000000000010000000000000000000000000000000001000000000000010000000000000010000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000001000000000100000000000000000000000000000000000000000000000001000000000000000000000000000000000000000010000100000000000000000000000000000011000000000000000000000000000000000000000000000000100000000000000000000000000000001000000000001000000010000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000010000000000000000100000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000100000000000000000001000001000000000000000000000000000000000001000000000000000000000000000000000000000000010000000010000000100000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000,0,0,-2.76211742449,0.0,-27.0
